Datetime,CO(GT)
2004-03-10180000,26.0
2004-03-10190000,2.0
2004-03-10200000,22.0
2004-03-10210000,22.0
2004-03-10220000,16.0
2004-03-10230000,12.0
2004-03-11000000,12.0
2004-03-11010000,1.0
2004-03-11020000,9.0
2004-03-11030000,6.0
2004-03-11050000,7.0
2004-03-11060000,7.0
2004-03-11070000,11.0
2004-03-11080000,2.0
2004-03-11090000,22.0
2004-03-11100000,17.0
2004-03-11110000,15.0
2004-03-11120000,16.0
2004-03-11130000,19.0
2004-03-11140000,29.0
2004-03-11150000,22.0
2004-03-11160000,22.0
2004-03-11170000,29.0
2004-03-11180000,48.0
2004-03-11190000,69.0
2004-03-11200000,61.0
2004-03-11210000,39.0
2004-03-11220000,15.0
2004-03-11230000,1.0
2004-03-12000000,17.0
2004-03-12010000,19.0
2004-03-12020000,14.0
2004-03-12030000,8.0
2004-03-12050000,6.0
2004-03-12060000,8.0
2004-03-12070000,14.0
2004-03-12080000,44.0
2004-03-12100000,31.0
2004-03-12110000,27.0
2004-03-12120000,21.0
2004-03-12130000,25.0
2004-03-12140000,27.0
2004-03-12150000,29.0
2004-03-12160000,28.0
2004-03-12170000,24.0
2004-03-12180000,39.0
2004-03-12190000,37.0
2004-03-12200000,66.0
2004-03-12210000,44.0
2004-03-12220000,35.0
2004-03-12230000,54.0
2004-03-13000000,27.0
2004-03-13010000,19.0
2004-03-13020000,16.0
2004-03-13030000,17.0
2004-03-13050000,1.0
2004-03-13060000,12.0
2004-03-13070000,15.0
2004-03-13080000,27.0
2004-03-13090000,37.0
2004-03-13100000,32.0
2004-03-13110000,41.0
2004-03-13120000,36.0
2004-03-13130000,28.0
2004-03-13140000,2.0
2004-03-13150000,2.0
2004-03-13160000,25.0
2004-03-13170000,23.0
2004-03-13180000,32.0
2004-03-13190000,42.0
2004-03-13200000,42.0
2004-03-13210000,42.0
2004-03-13220000,31.0
2004-03-13230000,26.0
2004-03-14000000,29.0
2004-03-14010000,28.0
2004-03-14020000,25.0
2004-03-14030000,24.0
2004-03-14050000,12.0
2004-03-14060000,1.0
2004-03-14070000,9.0
2004-03-14080000,14.0
2004-03-14090000,16.0
2004-03-14100000,22.0
2004-03-14110000,28.0
2004-03-14120000,28.0
2004-03-14130000,2.0
2004-03-14140000,18.0
2004-03-14150000,19.0
2004-03-14160000,3.0
2004-03-14170000,29.0
2004-03-14180000,25.0
2004-03-14190000,46.0
2004-03-14200000,59.0
2004-03-14210000,34.0
2004-03-14220000,21.0
2004-03-14230000,22.0
2004-03-15000000,18.0
2004-03-15010000,18.0
2004-03-15020000,18.0
2004-03-15030000,11.0
